iter	Passed	Remaining
0	1	169
1	2	144
2	4	134
3	5	121
4	6	116
5	7	111
6	7	106
7	8	102
8	9	100
9	10	97
10	11	95
11	12	93
12	13	92
13	14	89
14	15	88
15	16	86
16	17	84
17	18	83
18	19	81
19	19	79
20	20	78
21	21	76
22	22	75
23	23	73
24	23	71
25	24	69
26	25	68
27	26	66
28	26	65
29	27	64
30	28	63
31	29	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	33	55
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	37	48
44	38	47
45	39	46
46	39	45
47	40	44
48	41	42
49	42	42
50	42	41
51	43	40
52	44	39
53	44	38
54	45	37
55	45	36
56	46	35
57	47	34
58	47	33
59	48	32
60	49	31
61	49	30
62	50	29
63	51	28
64	51	27
65	52	26
66	52	25
67	53	25
68	53	24
69	54	23
70	55	22
71	55	21
72	56	20
73	56	19
74	57	19
75	58	18
76	58	17
77	59	16
78	59	15
79	60	15
80	60	14
81	61	13
82	62	12
83	62	11
84	63	11
85	63	10
86	64	9
87	64	8
88	65	8
89	66	7
90	66	6
91	67	5
92	67	5
93	68	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	71	0
