iter	Passed	Remaining
0	142	142678
1	144	72249
2	146	48621
3	147	36809
4	149	29738
5	151	25023
6	152	21663
7	154	19131
8	155	17159
9	157	15571
10	159	14304
11	160	13241
12	162	12331
13	163	11541
14	165	10862
15	167	10270
16	168	9751
17	170	9304
18	172	8895
19	174	8535
20	175	8195
21	177	7892
22	178	7603
23	180	7337
24	182	7112
25	184	6893
26	185	6688
27	187	6511
28	189	6343
29	191	6181
30	192	6026
31	194	5886
32	196	5753
33	197	5618
34	199	5488
35	200	5363
36	201	5253
37	203	5151
38	205	5053
39	206	4952
40	207	4859
41	209	4771
42	210	4684
43	211	4601
44	212	4517
45	214	4440
46	215	4363
47	216	4292
48	217	4220
49	218	4154
50	219	4087
51	220	4025
52	221	3960
53	222	3898
54	223	3838
55	224	3781
56	225	3725
57	226	3671
58	226	3618
59	227	3566
60	228	3516
61	229	3469
62	230	3426
63	231	3385
64	232	3344
65	233	3302
66	234	3259
67	234	3219
68	235	3180
69	236	3142
70	237	3104
71	238	3067
72	238	3033
73	239	2998
74	240	2964
75	241	2932
76	241	2900
77	242	2868
78	243	2840
79	244	2812
80	245	2783
81	246	2756
82	246	2723
83	247	2695
84	247	2668
85	248	2644
86	249	2618
87	250	2593
88	250	2567
89	251	2543
90	252	2519
91	252	2496
92	253	2472
93	254	2449
94	254	2427
95	255	2406
96	256	2384
97	256	2363
98	257	2341
99	258	2322
100	258	2303
101	259	2284
102	259	2264
103	260	2244
104	261	2225
105	261	2205
106	262	2187
107	262	2169
108	263	2151
109	263	2133
110	264	2116
111	264	2099
112	265	2082
113	265	2065
114	266	2049
115	266	2033
116	267	2016
117	267	2001
118	268	1986
119	268	1972
120	269	1957
121	269	1942
122	270	1928
123	271	1915
124	271	1902
125	272	1889
126	272	1876
127	273	1863
128	274	1851
129	274	1838
130	275	1825
131	275	1813
132	276	1800
133	276	1788
134	277	1776
135	277	1764
136	278	1753
137	278	1741
138	279	1730
139	279	1719
140	280	1708
141	280	1695
142	281	1685
143	281	1674
144	282	1664
145	282	1653
146	283	1643
147	283	1633
148	284	1623
149	284	1613
150	285	1604
151	285	1595
152	286	1586
153	287	1577
154	287	1568
155	288	1559
156	288	1550
157	289	1541
158	289	1532
159	290	1523
160	290	1513
161	290	1505
162	291	1496
163	291	1487
164	292	1479
165	292	1471
166	293	1463
167	293	1455
168	294	1447
169	294	1439
170	295	1431
171	295	1424
172	296	1416
173	296	1409
174	297	1401
175	297	1394
176	298	1387
177	298	1379
178	299	1373
179	300	1367
180	300	1360
181	301	1353
182	301	1347
183	302	1342
184	303	1337
185	304	1333
186	305	1327
187	305	1321
188	306	1314
189	306	1308
190	307	1301
191	307	1295
192	308	1289
193	308	1283
194	309	1276
195	309	1270
196	310	1264
197	310	1258
198	311	1253
199	311	1247
200	312	1241
201	312	1235
202	313	1230
203	314	1225
204	314	1220
205	315	1215
206	315	1209
207	316	1204
208	316	1198
209	317	1193
210	317	1188
211	318	1183
212	318	1177
213	319	1172
214	319	1167
215	320	1162
216	320	1157
217	321	1152
218	321	1147
219	322	1142
220	322	1137
221	323	1133
222	323	1128
223	324	1123
224	324	1118
225	325	1114
226	325	1109
227	326	1104
228	326	1100
229	327	1096
230	328	1092
231	328	1088
232	329	1084
233	329	1080
234	330	1075
235	330	1071
236	331	1067
237	331	1062
238	332	1058
239	332	1054
240	333	1049
241	333	1045
242	334	1041
243	334	1037
244	335	1033
245	335	1029
246	336	1025
247	336	1021
248	337	1017
249	337	1013
250	338	1009
251	338	1005
252	339	1002
253	339	998
254	340	994
255	340	990
256	341	987
257	342	984
258	342	981
259	343	977
260	344	974
261	344	970
262	345	967
263	345	963
264	346	960
265	346	956
266	347	953
267	347	949
268	348	946
269	348	942
270	349	939
271	349	935
272	350	932
273	350	928
274	351	925
275	351	922
276	352	919
277	352	915
278	353	912
279	353	909
280	354	906
281	354	902
282	355	900
283	356	897
284	356	894
285	357	891
286	357	888
287	358	885
288	358	882
289	359	879
290	359	876
291	360	873
292	360	869
293	361	866
294	361	863
295	362	861
296	362	858
297	363	855
298	363	852
299	363	849
300	364	846
301	365	843
302	365	840
303	366	838
304	366	835
305	367	832
306	367	829
307	368	826
308	368	824
309	369	821
310	369	819
311	370	816
312	370	813
313	371	811
314	371	808
315	372	806
316	372	803
317	373	800
318	373	798
319	374	795
320	374	792
321	375	790
322	375	787
323	376	785
324	376	782
325	377	779
326	377	777
327	378	774
328	378	772
329	379	770
330	379	767
331	380	765
332	380	762
333	381	760
334	381	757
335	382	755
336	383	753
337	383	751
338	384	749
339	384	746
340	385	744
341	385	742
342	386	740
343	387	738
344	387	735
345	388	733
346	388	731
347	389	728
348	389	726
349	390	724
350	390	722
351	390	719
352	391	717
353	391	715
354	392	713
355	392	710
356	393	708
357	393	706
358	394	704
359	394	702
360	395	700
361	396	698
362	396	696
363	397	694
364	397	692
365	398	690
366	399	688
367	399	686
368	400	684
369	400	682
370	401	680
371	401	678
372	402	676
373	402	674
374	403	672
375	403	670
376	404	668
377	404	666
378	405	664
379	405	662
380	406	660
381	406	658
382	407	656
383	407	654
384	408	652
385	408	650
386	409	648
387	409	646
388	410	644
389	411	643
390	411	641
391	412	639
392	412	637
393	413	635
394	413	633
395	414	631
396	414	630
397	415	628
398	415	626
399	416	624
400	416	622
401	417	620
402	417	618
403	418	616
404	418	614
405	419	613
406	419	611
407	420	609
408	420	607
409	421	605
410	421	604
411	422	602
412	422	600
413	423	599
414	423	597
415	424	595
416	424	593
417	425	592
418	425	590
419	426	589
420	427	587
421	427	585
422	428	583
423	428	582
424	429	580
425	429	578
426	430	577
427	430	575
428	430	573
429	431	571
430	431	570
431	432	568
432	432	566
433	433	565
434	433	563
435	434	562
436	434	560
437	435	558
438	436	557
439	436	555
440	436	553
441	437	552
442	437	550
443	438	549
444	438	547
445	439	545
446	440	544
447	440	542
448	441	541
449	441	539
450	442	538
451	442	536
452	443	535
453	443	533
454	444	531
455	444	530
456	445	528
457	445	527
458	446	525
459	446	524
460	447	522
461	447	521
462	448	519
463	448	518
464	449	516
465	449	515
466	450	513
467	450	512
468	451	510
469	451	509
470	452	507
471	452	506
472	453	505
473	453	503
474	454	502
475	455	501
476	455	499
477	456	498
478	456	496
479	457	495
480	457	493
481	458	492
482	458	490
483	459	489
484	459	488
485	460	486
486	460	485
487	461	483
488	461	482
489	461	480
490	462	479
491	463	478
492	463	477
493	464	475
494	465	474
495	465	473
496	465	471
497	466	470
498	467	468
499	467	467
500	468	466
501	468	465
502	469	463
503	469	462
504	470	461
505	470	459
506	471	458
507	471	457
508	472	455
509	472	454
510	473	452
511	473	451
512	474	450
513	474	448
514	475	447
515	475	446
516	476	445
517	476	443
518	477	442
519	477	441
520	478	439
521	478	438
522	479	437
523	479	435
524	480	434
525	480	433
526	481	432
527	482	430
528	482	429
529	483	428
530	483	427
531	484	426
532	484	424
533	485	423
534	486	422
535	486	421
536	487	420
537	487	418
538	488	417
539	488	416
540	489	415
541	489	413
542	490	412
543	490	411
544	491	410
545	491	408
546	492	407
547	492	406
548	493	405
549	493	403
550	494	402
551	494	401
552	495	400
553	496	399
554	496	398
555	497	397
556	497	395
557	498	394
558	498	393
559	499	392
560	499	391
561	500	389
562	500	388
563	501	387
564	501	386
565	502	385
566	502	383
567	503	382
568	503	381
569	504	380
570	504	379
571	505	378
572	505	376
573	506	375
574	506	374
575	507	373
576	507	372
577	508	371
578	508	369
579	509	368
580	510	367
581	510	366
582	511	365
583	511	364
584	512	363
585	512	362
586	513	361
587	513	360
588	514	358
589	514	357
590	515	356
591	515	355
592	516	354
593	516	353
594	517	352
595	518	351
596	518	350
597	519	349
598	519	347
599	520	346
600	520	345
601	521	344
602	521	343
603	522	342
604	522	341
605	523	340
606	523	339
607	524	338
608	525	337
609	525	336
610	526	334
611	526	333
612	527	332
613	527	331
614	528	330
615	528	329
616	529	328
617	529	327
618	530	326
619	530	325
620	531	324
621	531	323
622	532	322
623	532	321
624	533	320
625	533	318
626	534	317
627	534	316
628	535	315
629	535	314
630	536	313
631	536	312
632	537	311
633	538	310
634	538	309
635	539	308
636	539	307
637	540	306
638	540	305
639	541	304
640	541	303
641	542	302
642	542	301
643	543	300
644	543	299
645	544	298
646	544	297
647	545	296
648	545	295
649	546	294
650	546	293
651	547	292
652	548	291
653	548	290
654	549	289
655	549	288
656	550	287
657	550	286
658	551	285
659	551	284
660	552	283
661	553	282
662	553	281
663	554	280
664	554	279
665	555	278
666	555	277
667	556	276
668	556	275
669	557	274
670	557	273
671	558	272
672	558	271
673	559	270
674	559	269
675	560	268
676	561	267
677	561	266
678	562	265
679	562	264
680	562	263
681	563	262
682	563	261
683	564	260
684	564	259
685	565	258
686	566	257
687	566	257
688	567	256
689	568	255
690	568	254
691	569	253
692	570	252
693	570	251
694	571	250
695	571	249
696	572	248
